Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_62130	50	50	24	133	71	362	41	34	100	141	130	137	0.782200236690428	5.93138005476083e-06	9.81781338133958e-05
PA14_46490	0	0	0	218	198	103	0	0	0	76	133	98	0.690846029604819	0.86414869141371	1
PA14sr_032	454	333	345	0	0	0	172	179	162	0	0	0	-1.12327602146239	0.591930541139696	1
PA14sr_031	0	0	0	32	29	50	0	0	0	14	11	1	2.00677720584352	0.192985631437372	0.799146562092483
PA14sr_030	6178	5523	2632	0	0	0	4129	4624	888	0	0	0	-0.770676291617537	0.808136557357054	1
PA14sr_036	0	0	0	45	28	21	0	0	0	11	14	10	1.33709308432946	0.499213904097673	1
PA14_40940	0	0	0	0	1	2	0	0	0	6	6	7	-2.28540221886225	0.277248619733148	1
PA14_21720	33	24	22	0	0	0	15	21	9	0	0	0	-0.84967870012172	0.782314476243783	1
PA14_21090	9	19	16	0	0	0	14	9	3	0	0	0	-0.807550634604996	0.81643697763873	1
PA14_53390	24	14	3	0	0	0	4	3	2	0	0	0	-1.76833380838436	0.371959197779442	1
PA14_19030	113	112	92	1	0	4	102	98	41	12	11	6	-2.91533118739736	5.77160221498232e-06	9.66573618003215e-05
PA14_72420,PA14_72430,PA14_72450	269	205	148	0	0	0	292	418	256	0	0	0	0.63543100909329	0.90078844219699	1
PA14_61300	10	18	8	8	4	6	6	5	42	1	2	0	1.98039105537139	0.00863612852667749	0.0655654877745355
PA14_32380,PA14_32390,PA14_32400	1	0	0	0	0	0	3	1	0	0	0	0	0.584962500721156	0.741634031648461	1
PA14_12080	197	219	148	4	2	4	211	176	253	6	1	6	-0.0457116263821785	0.941064279455808	1
PA14_33190,PA14_33200,PA14_33220	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_47010,PA14_47030	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_44680,PA14_44690	51	39	40	0	0	0	21	37	11	0	0	0	-1.00932664814978	0.668704340387378	1
PA14_31250	0	0	0	8	8	4	0	0	0	4	10	0	0.732519689135014	0.918022651876957	1
PA14_66790	18	8	3	0	0	0	7	8	0	0	0	0	-0.888354644171091	0.827956109129303	1
PA14_04020	6	10	1	0	0	0	0	6	1	0	0	0	-1.08406426478847	0.789544137663149	1
PA14_36200	85	68	44	14	19	30	41	39	8	19	30	13	-1.42616936971542	3.46289997825677e-05	0.000505583396825488
PA14_12770	1	2	1	0	0	0	1	0	0	0	0	0	-0.362570079384708	0.843525869092694	1
PA14_66880	18	12	8	0	0	0	9	6	7	0	0	0	-0.726563915838636	0.883547437442854	1
PA14_57275	15	10	14	447	354	191	25	20	24	179	260	11	2.42793754108922	6.08270553995675e-18	3.0924040486173e-16
